,owner,INN,id
6253,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СИБИРСКАЯ НЕФТЕГАЗОВАЯ КОМПАНИЯ""",8904005920.0,954
11055,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СИБИРСКАЯ НЕФТЕГАЗОВАЯ КОМПАНИЯ""",7202202348.0,1659
13541,ОАО Тендерресурс,8601049728.0,1841
13322,ОАО Тендерресурс,8601000377.0,1792
1693,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГЕОРЕСУРС""",7708650697.0,298
5237,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГЕОРЕСУРС""",5902857530.0,837
5072,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГЕОСЕРВИС""",1832143725.0,810
5399,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГЕОСЕРВИС""",5904265497.0,860
538,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАРАТ""",3442119939.0,85
8545,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАРАТ""",1655335384.0,1250
9888,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМИНЕФТЕГАЗ""",1102028215.0,1474
9860,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМИНЕФТЕГАЗ""",7727452926.0,1471
10801,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАЦГЕОРЕСУРС""",3811450510.0,1599
10719,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАЦГЕОРЕСУРС""",7725745469.0,1585
114,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НЕФТЕГАЗИНВЕСТ""",3448057140.0,38
4281,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НЕФТЕГАЗИНВЕСТ""",5611057641.0,732
14535,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОПТИМА""",8616008403.0,1992
2123,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОПТИМА""",7728557777.0,377
8347,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПОВОЛЖСКНЕФТЬ""",7811339446.0,1185
425,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПОВОЛЖСКНЕФТЬ""",6454092003.0,81
8791,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРАЙМ""",7716651768.0,1309
5216,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРАЙМ""",7706540561.0,831
10044,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕВЕРТЭК""",1106010000.0,1491
3577,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕВЕРТЭК""",1106023306.0,639
4332,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТАНДАРТ""",5638064597.0,742
8532,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТАНДАРТ""",7702603771.0,1245
8810,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНСОЙЛ""",6317149829.0,1316
10467,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНСОЙЛ""",1647006330.0,1541
3100,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮГНЕФТЕГАЗ""",562068670.0,539
15370,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮГНЕФТЕГАЗ""",814150728.0,2090
351,"Общество с ограниченной ответственностью ""ЛУКОЙЛ-Нижневолжскнефть""",3444070534.0,75
135,"Общество с ограниченной ответственностью ""ЛУКОЙЛ-Нижневолжскнефть""",3444160749.0,46
